Microsoft Windows [Versione 10.0.17134.345]
(c) 2018 Microsoft Corporation. Tutti i diritti sono riservati.

C:\Users\Andi>CD c:\Users\Andi\Documents\iperf-3.1.3-win64

c:\Users\Andi\Documents\iperf-3.1.3-win64>iperf3.exe -c 192.168.2.140 -u -b 150M --get-server-output -t 180 -f M
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
iperf3: interrupt - the client has terminated

c:\Users\Andi\Documents\iperf-3.1.3-win64>iperf3.exe -c 192.168.2.140 -u -b 150M --get-server-output -t 180 -f M
Connecting to host 192.168.2.140, port 5201
[  4] local 192.168.2.236 port 55020 connected to 192.168.2.140 port 5201
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  4]   0.00-1.00   sec  10.5 MBytes  10.5 MBytes/sec  1343
[  4]   1.00-2.00   sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4]   2.00-3.00   sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4]   3.00-4.00   sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4]   4.00-5.00   sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4]   5.00-6.00   sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4]   6.00-7.00   sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4]   7.00-8.00   sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4]   8.00-9.00   sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4]   9.00-10.00  sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4]  10.00-11.00  sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4]  11.00-12.00  sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4]  12.00-13.00  sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4]  13.00-14.00  sec  11.4 MBytes  11.4 MBytes/sec  1461
[  4]  14.00-15.00  sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4]  15.00-16.00  sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4]  16.00-17.00  sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4]  17.00-18.00  sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4]  18.00-19.00  sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4]  19.00-20.00  sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4]  20.00-21.00  sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4]  21.00-22.00  sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4]  22.00-23.00  sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4]  23.00-24.00  sec  11.4 MBytes  11.4 MBytes/sec  1461
[  4]  24.00-25.00  sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4]  25.00-26.00  sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4]  26.00-27.00  sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4]  27.00-28.00  sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4]  28.00-29.00  sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4]  29.00-30.00  sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4]  30.00-31.00  sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4]  31.00-32.00  sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4]  32.00-33.00  sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4]  33.00-34.00  sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4]  34.00-35.00  sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4]  35.00-36.00  sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4]  36.00-37.00  sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4]  37.00-38.00  sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4]  38.00-39.00  sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4]  39.00-40.00  sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4]  40.00-41.00  sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4]  41.00-42.00  sec  11.4 MBytes  11.4 MBytes/sec  1460
[  4]  42.00-43.00  sec  11.4 MBytes  11.4 MBytes/sec  1464
