ID	Group	Latency [ms]	Transmitted [MB]	Throughput [MB/s]
1	Unloaded	5	2.38	19.9
2	Unloaded	7	1.00	8.39
3	Unloaded	1,00E+99	1.38	11.5
4	Unloaded	4	1.00	8.38
5	Unloaded	6	1.75	14.7
6	Unloaded	5	896	7.34
7	Unloaded	4	1.50	12.6
8	Unloaded	7	1.00	8.39
9	Unloaded	5	0.00	0.00
10	Unloaded	4	1.25	10.5
11	Unloaded	4	128	1.05
12	Unloaded	5	640	5.24
13	Unloaded	6	2.38	19.9
14	Unloaded	4	1.00	8.39
15	Unloaded	4	256	2.10
16	Unloaded	4	896	7.34
17	Unloaded	8	1.12	9.44
18	Unloaded	4	1.00	8.39
19	Unloaded	5	0.00	0.00
20	Unloaded	17	1.12	9.44
21	Unloaded	4	2.25	18.8
22	Unloaded	7	1.00	8.40
23	Unloaded	5	1.00	8.39
24	Unloaded	9	256	2.10
25	Unloaded	5	128	1.05
26	Unloaded	4	0.00	0.00
27	Unloaded	7	384	3.15
28	Unloaded	4	256	2.10
29	Unloaded	7	896	7.34
30	Unloaded	5	128	1.05
31	Unloaded	4	128	1.05
32	Unloaded	7	0.00	0.00
33	Unloaded	4	128	1.05
34	Unloaded	16	896	7.34
35	Unloaded	4	0.00	0.00
36	Unloaded	4	768	6.28
37	Unloaded	8	128	1.05
38	Unloaded	4	768	6.29
39	Unloaded	5	0.00	0.00
40	Unloaded	5	128	1.05
41	Unloaded	5	128	1.05
42	Unloaded	10	128	1.05
43	Unloaded	5	2.38	19.9
44	Unloaded	4	1.00	8.39
45	Unloaded	4	0.00	0.00
46	Unloaded	5	512	4.20
47	Unloaded	4	0.00	0.00
48	Unloaded	5	640	5.24
49	Unloaded	4	256	2.10
50	Unloaded	7	896	7.33
51	Unloaded	4	0.00	0.00
52	Unloaded	4	512	4.20
53	Unloaded	5	0.00	0.00
54	Unloaded	4	768	6.29
55	Unloaded	5	2.50	21.0
56	Unloaded	5	896	7.34
57	Unloaded	5	0.00	0.00
58	Unloaded	5	256	2.10
59	Unloaded	4	2.00	16.8
60	Unloaded	4	768	6.29
